term                df        offset    
proven              1         4014      
provinc             1         4015      
public              7         4016      
pull                1         4023      
punt                1         4024      
pursuanc            1         4025      
push                1         4026      
put                 3         4027      
qp                  1         4030      
quadrupl            1         4031      
qualif              1         4032      
quarantin           1         4033      
question            2         4034      
quickli             1         4036      
quit                2         4037      
quo                 1         4039      
racist              1         4040      
radar               1         4041      
radio               1         4042      
raid                2         4043      
rais                1         4045      
ram                 1         4046      
rapid               2         4047      
rapidli             1         4049      
rate                1         4050      
rather              1         4051      
ration              1         4052      
re                  1         4053      
read                4         4054      
reader              1         4058      
readi               1         4059      
real                2         4060      
realiz              1         4062      
realli              2         4063      
reason              2         4065      
reced               1         4067      
receiv              2         4068      
recent              3         4070      
recognit            1         4073      
record              2         4074      
recov               3         4076      
recoveri            2         4079      
reduc               1         4081      
refus               3         4082      
regard              2         4085      
regardless          1         4087      
regim               1         4088      
registr             1         4089      
regul               1         4090      
reincarn            1         4091      
reinfect            1         4092      
relat               4         4093      
relax               1         4097      
releas              3         4098      
relief              1         4101      
remain              1         4102      
rememb              2         4103      
remind              1         4105      
remov               3         4106      
repli               1         4109      
report              5         4110      
republican          3         4115      
requir              9         4118      
reschedul           1         4127      
resid               3         4128      
resign              2         4131      
respons             6         4133      
rest                2         4139      
restrict            20        4141      
restructur          1         4161      
result              5         4162      
resum               1         4167      
return              2         4168      
reveal              2         4170      
richest             1         4172      
riddl               1         4173      
ridicul             3         4174      
right               6         4177      
rise                2         4183      
rishi               1         4185      
risk                3         4186      
riskier             1         4189      
road                2         4190      
roam                1         4192      
rogan               3         4193      
room                1         4196      
roughli             1         4197      
rt                  1         4198      
rule                7         4199      
run                 4         4206      
runformor           1         4210      
russian             1         4211      
sack                1         4212      
sad                 1         4213      
safe                1         4214      
safer               1         4215      
safeti              3         4216      
saget'              1         4219      
sai                 7         4220      
said                8         4227      
salah               1         4235      
sale                1         4236      
salman              1         4237      
same                7         4238      
saskatchewan        1         4245      
sat                 2         4246      
save                1         4248      
savior              1         4249      
saw                 3         4250      
scam                1         4253      
scan                1         4254      
schedul             1         4255      
school              4         4256      
scienc              7         4260      
scientif            1         4267      
scientist           3         4268      
scot                1         4271      
scotland            2         4272      
scrap               1         4274      
season              3         4275      
seattl              1         4278      
second              1         4279      
secur               1         4280      
see                 5         4281      
seek                2         4286      
seem                1         4288      
seemingli           1         4289      
segreg              1         4290      
self                3         4291      
sell                2         4294      
senat               1         4296      
send                3         4297      
senseless           1         4300      
sensibl             1         4301      
serious             2         4302      
serv                4         4304      
sever               3         4308      
sex                 1         4311      
shame               2         4312      
share               2         4314      
she                 6         4316      
shill               1         4322      
shoe                1         4323      
shop                2         4324      
short               1         4326      
shortli             1         4327      
shot                2         4328      
should              5         4330      
show                5         4335      
shut                1         4340      
signal              1         4341      
signatur            1         4342      
silenc              1         4343      
sim                 1         4344      
simpl               1         4345      
simpli              1         4346      
simultan            1         4347      
sinc                3         4348      
sincer              1         4351      
singl               2         4352      
sit                 3         4354      
situat              1         4357      
skb                 1         4358      
skgov               1         4359      
skill               1         4360      
slander             1         4361      
slow                1         4362      
slu                 1         4363      
small               1         4364      
smile               1         4365      
smoke               1         4366      
smoothli            1         4367      
snp                 1         4368      
so                  14        4369      
social              2         4383      
socialis            1         4385      
societi             1         4386      
soldier             1         4387      
solv                1         4388      
some                8         4389      
somedai             1         4397      
someon              4         4398      
someth              4         4402      
soon                7         4406      
sort                2         4413      
soulslosttocovid    1         4415      
sound               1         4416      
space               1         4417      
speak               1         4418      
spector             1         4419      
speed               1         4420      
spike               2         4421      
spin                1         4423      
spoke               1         4424      
spread              2         4425      
staf                1         4427      
staff               3         4428      
stage               1         4431      
stai                9         4432      
star                1         4441      
starmer             1         4442      
start               3         4443      
state               5         4446      
statist             3         4451      
statu               2         4454      
steal               3         4456      
step                3         4459      
stern               1         4462      
still               12        4463      
stop                8         4475      
store               1         4483      
stori               2         4484      
straight            1         4486      
street              1         4487      
strengthen          1         4488      
stricken            1         4489      
strike              2         4490      
stringent           1         4492      
stroke              1         4493      
student             2         4494      
studi               6         4496      
studio              1         4502      
stupid              1         4503      
submiss             1         4504      
success             1         4505      
such                2         4506      
sudden              2         4508      
suddenli            2         4510      
suffer              1         4512      
suggest             2         4513      
suicid              1         4515      
summer              1         4516      
sunak               1         4517      
super               1         4518      
superspread         1         4519      
suppli              3         4520      
support             4         4523      
suppress            1         4527      
sure                2         4528      
surpris             1         4530      
surrend             1         4531      
survei              1         4532      
surveil             1         4533      
svd                 1         4534      
sweati              1         4535      
symptom             4         4536      
system              2         4540      
tabl                1         4542      
tail                1         4543      
take                7         4544      
takeindianstudentsbacktochina1         4551      
taken               1         4552      
talk                2         4553      
tam                 2         4555      
tampon              1         4557      
task                1         4558      
tblvscol            1         4559      
teacher             3         4560      
team                2         4563      
tear                1         4565      
ted                 1         4566      
televis             1         4567      
tell                3         4568      
temporari           1         4571      
ten                 2         4572      
term                2         4574      
termin              2         4576      
test                22        4578      
texa                1         4600      
than                6         4601      
thank               4         4607      
thankyoujo          1         4611      
that                72        4612      
that'               6         4684      
the                 243       4690      
thei                44        4933      
their               14        4977      
them                14        4991      
themselv            1         5005      
then                6         5006      
theori              1         5012      
there               9         5013      
there'              1         5022      
therefor            1         5023      
theresa             1         5024      
these               5         5025      
they'r              8         5030      
thi                 34        5038      
thing               9         5072      
think               7         5081      
thinkpiec           3         5088      
thoma               1         5091      
those               6         5092      
though              1         5098      
thousand            2         5099      
thread              2         5101      
threaten            1         5103      
three               4         5104      
thrice              1         5108      
through             3         5109      
throw               1         5112      
thrown              1         5113      
ti                  1         5114      
til                 1         5115      
tim                 1         5116      
time                11        5117      
timesradio          1         5128      
tini                2         5129      
tip                 1         5131      
tire                1         5132      
to                  166       5133      
todai               6         5299      
today'              2         5305      
told                1         5307      
toll                4         5308      
tomorrow            1         5312      
tonight             5         5313      
tonight'            1         5318      
too                 5         5319      
took                2         5324      
top                 2         5326      
torch               2         5328      
tori                1         5330      
tran                1         5331      
travel              7         5332      
treat               1         5339      
treatment           2         5340      
trend               1         5342      
tripl               1         5343      
truck               2         5344      
trucker             5         5346      
truckersconvoi      1         5351      
truckload           1         5352      
true                1         5353      
trust               1         5354      
trustthesci         1         5355      
truth               1         5356      
try                 3         5357      
turkish             1         5360      
turn                1         5361      
tweet               3         5362      
two                 8         5365      
type                1         5373      
tyrant              1         5374      
u.                  1         5375      
u.k                 1         5376      
ucl                 1         5377      
uk                  5         5378      
uklabour            1         5383      
um                  1         5384      
unabl               1         5385      
under               2         5386      
undercount          3         5388      
underestim          1         5391      
understaf           1         5392      
understand          4         5393      
undp                2         5397      
unemploy            1         5399      
union               2         5400      
unit                2         5402      
univers             1         5404      
unlik               1         5405      
unmask              1         5406      
unmeasur            1         5407      
unpopular           3         5408      
unscientif          1         5411      
until               4         5412      
unvaccin            2         5416      
up                  11        5418      
updat               2         5429      
upsc                2         5431      
upscextraattempt    1         5433      
